date,vehicle_category,maker,electric_vehicles_sold
2021-04-01,2-Wheelers,OLA ELECTRIC,0
2022-04-01,2-Wheelers,OKAYA EV,0
2021-05-01,2-Wheelers,OLA ELECTRIC,0
2021-06-01,2-Wheelers,OLA ELECTRIC,0
2021-07-01,2-Wheelers,OLA ELECTRIC,0
2021-08-01,2-Wheelers,OLA ELECTRIC,0
2021-09-01,2-Wheelers,OLA ELECTRIC,0
2021-10-01,2-Wheelers,OLA ELECTRIC,0
2021-11-01,2-Wheelers,OLA ELECTRIC,0
2021-04-01,4-Wheelers,BYD India,0
2021-04-01,4-Wheelers,PCA Automobiles,0
2021-04-01,4-Wheelers,BMW India,0
2021-04-01,4-Wheelers,Volvo Auto India,0
2021-04-01,4-Wheelers,KIA Motors,0
2022-04-01,4-Wheelers,PCA Automobiles,0
2022-04-01,4-Wheelers,Volvo Auto India,0
2022-04-01,4-Wheelers,KIA Motors,0
2021-05-01,4-Wheelers,BYD India,0
2021-05-01,4-Wheelers,PCA Automobiles,0
2021-05-01,4-Wheelers,BMW India,0
2021-05-01,4-Wheelers,Mercedes -Benz AG,0
2021-05-01,4-Wheelers,Volvo Auto India,0
2021-05-01,4-Wheelers,KIA Motors,0
2022-05-01,4-Wheelers,PCA Automobiles,0
2022-05-01,4-Wheelers,Volvo Auto India,0
2022-05-01,4-Wheelers,KIA Motors,0
2021-06-01,4-Wheelers,BYD India,0
2021-06-01,4-Wheelers,PCA Automobiles,0
2021-06-01,4-Wheelers,BMW India,0
2021-06-01,4-Wheelers,Volvo Auto India,0
2021-06-01,4-Wheelers,KIA Motors,0
2022-06-01,4-Wheelers,PCA Automobiles,0
2022-06-01,4-Wheelers,Volvo Auto India,0
2022-06-01,4-Wheelers,KIA Motors,0
2021-07-01,4-Wheelers,BYD India,0
2021-07-01,4-Wheelers,PCA Automobiles,0
2021-07-01,4-Wheelers,BMW India,0
2021-07-01,4-Wheelers,Volvo Auto India,0
2021-07-01,4-Wheelers,KIA Motors,0
2022-07-01,4-Wheelers,PCA Automobiles,0
2022-07-01,4-Wheelers,Volvo Auto India,0
2022-07-01,4-Wheelers,KIA Motors,0
2021-08-01,4-Wheelers,BYD India,0
2021-08-01,4-Wheelers,PCA Automobiles,0
2021-08-01,4-Wheelers,BMW India,0
2021-08-01,4-Wheelers,Volvo Auto India,0
2021-08-01,4-Wheelers,KIA Motors,0
2022-08-01,4-Wheelers,PCA Automobiles,0
2022-08-01,4-Wheelers,Volvo Auto India,0
2022-08-01,4-Wheelers,KIA Motors,0
2021-09-01,4-Wheelers,BYD India,0
2021-09-01,4-Wheelers,PCA Automobiles,0
2021-09-01,4-Wheelers,BMW India,0
2021-09-01,4-Wheelers,Volvo Auto India,0
2021-09-01,4-Wheelers,KIA Motors,0
2022-09-01,4-Wheelers,PCA Automobiles,0
2022-09-01,4-Wheelers,Volvo Auto India,0
2022-09-01,4-Wheelers,KIA Motors,0
2021-10-01,4-Wheelers,BYD India,0
2021-10-01,4-Wheelers,PCA Automobiles,0
2021-10-01,4-Wheelers,BMW India,0
2021-10-01,4-Wheelers,Volvo Auto India,0
2021-10-01,4-Wheelers,KIA Motors,0
2022-10-01,4-Wheelers,PCA Automobiles,0
2022-10-01,4-Wheelers,Volvo Auto India,0
2021-11-01,4-Wheelers,BYD India,0
2021-11-01,4-Wheelers,PCA Automobiles,0
2021-11-01,4-Wheelers,BMW India,0
2021-11-01,4-Wheelers,Volvo Auto India,0
2021-11-01,4-Wheelers,KIA Motors,0
2022-11-01,4-Wheelers,PCA Automobiles,0
2021-12-01,4-Wheelers,PCA Automobiles,0
2021-12-01,4-Wheelers,BMW India,0
2021-12-01,4-Wheelers,Volvo Auto India,0
2021-12-01,4-Wheelers,KIA Motors,0
2022-12-01,4-Wheelers,PCA Automobiles,0
2022-01-01,4-Wheelers,PCA Automobiles,0
2022-01-01,4-Wheelers,BMW India,0
2022-01-01,4-Wheelers,Volvo Auto India,0
2022-01-01,4-Wheelers,KIA Motors,0
2023-01-01,4-Wheelers,PCA Automobiles,0
2022-02-01,4-Wheelers,PCA Automobiles,0
2022-02-01,4-Wheelers,BMW India,0
2022-02-01,4-Wheelers,Volvo Auto India,0
2022-02-01,4-Wheelers,KIA Motors,0
2023-02-01,4-Wheelers,PCA Automobiles,0
2022-03-01,4-Wheelers,PCA Automobiles,0
2022-03-01,4-Wheelers,KIA Motors,0
2021-04-01,4-Wheelers,Tata Motors,322
2021-04-01,4-Wheelers,MG Motor,118
2021-04-01,4-Wheelers,Mahindra & Mahindra,171
2021-04-01,4-Wheelers,Hyundai Motor,12
2021-04-01,4-Wheelers,Mercedes -Benz AG,3
2022-04-01,4-Wheelers,Tata Motors,1409
2022-04-01,4-Wheelers,MG Motor,177
2022-04-01,4-Wheelers,Mahindra & Mahindra,611
2022-04-01,4-Wheelers,BYD India,15
2022-04-01,4-Wheelers,Hyundai Motor,17
2022-04-01,4-Wheelers,BMW India,12
2022-04-01,4-Wheelers,Mercedes -Benz AG,8
2023-04-01,4-Wheelers,Tata Motors,364
2023-04-01,4-Wheelers,MG Motor,265
2023-04-01,4-Wheelers,Mahindra & Mahindra,4880
2023-04-01,4-Wheelers,BYD India,156
2023-04-01,4-Wheelers,Hyundai Motor,42
2023-04-01,4-Wheelers,PCA Automobiles,181
2023-04-01,4-Wheelers,BMW India,51
2023-04-01,4-Wheelers,Mercedes -Benz AG,8
2023-04-01,4-Wheelers,Volvo Auto India,27
2023-04-01,4-Wheelers,KIA Motors,30
2021-05-01,4-Wheelers,Tata Motors,137
2021-05-01,4-Wheelers,MG Motor,39
2021-05-01,4-Wheelers,Mahindra & Mahindra,78
2021-05-01,4-Wheelers,Hyundai Motor,3
2022-05-01,4-Wheelers,Tata Motors,2097
2022-05-01,4-Wheelers,MG Motor,181
2022-05-01,4-Wheelers,Mahindra & Mahindra,622
2022-05-01,4-Wheelers,BYD India,30
2022-05-01,4-Wheelers,Hyundai Motor,19
2022-05-01,4-Wheelers,BMW India,6
2022-05-01,4-Wheelers,Mercedes -Benz AG,4
2023-05-01,4-Wheelers,Tata Motors,3212
2023-05-01,4-Wheelers,MG Motor,351
2023-05-01,4-Wheelers,Mahindra & Mahindra,3457
2023-05-01,4-Wheelers,BYD India,110
2023-05-01,4-Wheelers,Hyundai Motor,129
2023-05-01,4-Wheelers,PCA Automobiles,245
2023-05-01,4-Wheelers,BMW India,57
2023-05-01,4-Wheelers,Mercedes -Benz AG,9
2023-05-01,4-Wheelers,Volvo Auto India,34
2023-05-01,4-Wheelers,KIA Motors,36
2021-06-01,4-Wheelers,Tata Motors,572
2021-06-01,4-Wheelers,MG Motor,128
2021-06-01,4-Wheelers,Mahindra & Mahindra,106
2021-06-01,4-Wheelers,Hyundai Motor,10
2021-06-01,4-Wheelers,Mercedes -Benz AG,2
2022-06-01,4-Wheelers,Tata Motors,2169
2022-06-01,4-Wheelers,MG Motor,173
2022-06-01,4-Wheelers,Mahindra & Mahindra,787
2022-06-01,4-Wheelers,BYD India,36
2022-06-01,4-Wheelers,Hyundai Motor,39
2022-06-01,4-Wheelers,BMW India,4
2022-06-01,4-Wheelers,Mercedes -Benz AG,2
2023-06-01,4-Wheelers,Tata Motors,3671
2023-06-01,4-Wheelers,MG Motor,877
2023-06-01,4-Wheelers,Mahindra & Mahindra,2574
2023-06-01,4-Wheelers,BYD India,140
