date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
2021-04-01,Sikkim,2-Wheelers,0,398
2021-04-01,Sikkim,4-Wheelers,0,361
2021-05-01,Sikkim,2-Wheelers,0,113
2021-05-01,Sikkim,4-Wheelers,0,98
2021-06-01,Sikkim,2-Wheelers,0,229
2021-06-01,Sikkim,4-Wheelers,0,244
2021-07-01,Sikkim,2-Wheelers,0,458
2021-07-01,Sikkim,4-Wheelers,0,452
2021-08-01,Sikkim,2-Wheelers,0,489
2021-08-01,Sikkim,4-Wheelers,0,408
2021-09-01,Sikkim,2-Wheelers,0,540
2021-09-01,Sikkim,4-Wheelers,0,355
2021-10-01,Sikkim,2-Wheelers,0,455
2021-10-01,Sikkim,4-Wheelers,0,345
2021-11-01,Sikkim,2-Wheelers,0,478
2021-11-01,Sikkim,4-Wheelers,0,351
2021-12-01,Sikkim,2-Wheelers,0,454
2021-12-01,Sikkim,4-Wheelers,0,394
2022-01-01,Sikkim,2-Wheelers,0,400
2022-01-01,Sikkim,4-Wheelers,0,270
2022-02-01,Sikkim,2-Wheelers,0,384
2022-02-01,Sikkim,4-Wheelers,0,371
2022-03-01,Sikkim,2-Wheelers,0,460
2022-03-01,Sikkim,4-Wheelers,0,390
2022-04-01,Sikkim,2-Wheelers,0,455
2022-04-01,Sikkim,4-Wheelers,0,380
2022-05-01,Sikkim,2-Wheelers,0,461
2022-05-01,Sikkim,4-Wheelers,0,421
2022-06-01,Sikkim,2-Wheelers,0,429
2022-06-01,Sikkim,4-Wheelers,0,446
2022-07-01,Sikkim,2-Wheelers,0,409
2022-07-01,Sikkim,4-Wheelers,0,439
2022-08-01,Sikkim,2-Wheelers,0,394
2022-08-01,Sikkim,4-Wheelers,0,421
2022-09-01,Sikkim,2-Wheelers,0,443
2022-09-01,Sikkim,4-Wheelers,0,581
2022-10-01,Sikkim,2-Wheelers,0,371
2022-10-01,Sikkim,4-Wheelers,0,340
2022-11-01,Sikkim,2-Wheelers,0,431
2022-11-01,Sikkim,4-Wheelers,0,411
2022-12-01,Sikkim,2-Wheelers,0,274
2022-12-01,Sikkim,4-Wheelers,0,288
2023-01-01,Sikkim,2-Wheelers,0,470
2023-01-01,Sikkim,4-Wheelers,0,420
2023-02-01,Sikkim,2-Wheelers,0,324
2023-02-01,Sikkim,4-Wheelers,0,364
2023-03-01,Sikkim,2-Wheelers,0,454
2023-03-01,Sikkim,4-Wheelers,0,505
2023-04-01,Sikkim,2-Wheelers,0,465
2023-04-01,Sikkim,4-Wheelers,0,439
2023-05-01,Sikkim,2-Wheelers,0,507
2023-05-01,Sikkim,4-Wheelers,0,448
2023-06-01,Sikkim,2-Wheelers,0,517
2023-06-01,Sikkim,4-Wheelers,0,457
2023-07-01,Sikkim,2-Wheelers,0,423
2023-07-01,Sikkim,4-Wheelers,0,371
2023-08-01,Sikkim,2-Wheelers,0,465
2023-08-01,Sikkim,4-Wheelers,0,460
2023-09-01,Sikkim,2-Wheelers,0,546
2023-09-01,Sikkim,4-Wheelers,0,509
2023-10-01,Sikkim,2-Wheelers,0,398
2023-10-01,Sikkim,4-Wheelers,0,389
2023-11-01,Sikkim,2-Wheelers,0,470
2023-11-01,Sikkim,4-Wheelers,0,403
2023-12-01,Sikkim,2-Wheelers,0,365
2023-12-01,Sikkim,4-Wheelers,0,318
2024-01-01,Sikkim,2-Wheelers,0,509
2024-01-01,Sikkim,4-Wheelers,0,422
2024-02-01,Sikkim,2-Wheelers,0,408
2024-02-01,Sikkim,4-Wheelers,0,375
2024-03-01,Sikkim,2-Wheelers,0,399
2024-03-01,Sikkim,4-Wheelers,0,455
2021-04-01,Andaman & Nicobar Island,2-Wheelers,0,515
2021-04-01,Arunachal Pradesh,2-Wheelers,0,1256
2021-04-01,Arunachal Pradesh,4-Wheelers,0,724
2021-04-01,Assam,4-Wheelers,0,6576
2021-04-01,Chhattisgarh,4-Wheelers,0,1563
2021-04-01,DNH and DD,4-Wheelers,0,278
2021-04-01,Jammu and Kashmir,4-Wheelers,0,5107
2021-04-01,Ladakh,2-Wheelers,0,2
2021-04-01,Ladakh,4-Wheelers,0,20
2021-04-01,Manipur,4-Wheelers,0,808
2021-04-01,Meghalaya,2-Wheelers,0,1189
2021-04-01,Mizoram,2-Wheelers,0,1507
2021-04-01,Mizoram,4-Wheelers,0,281
2021-04-01,Nagaland,2-Wheelers,0,561
2021-04-01,Nagaland,4-Wheelers,0,747
2021-04-01,Puducherry,4-Wheelers,0,655
2021-04-01,Tripura,2-Wheelers,0,2906
2021-04-01,Tripura,4-Wheelers,0,289
2021-05-01,Andaman & Nicobar Island,2-Wheelers,0,4
2021-05-01,Andaman & Nicobar Island,4-Wheelers,0,1
2021-05-01,Arunachal Pradesh,2-Wheelers,0,552
2021-05-01,Arunachal Pradesh,4-Wheelers,0,302
2021-05-01,Assam,2-Wheelers,0,14723
2021-05-01,Assam,4-Wheelers,0,3295
2021-05-01,Bihar,4-Wheelers,0,2249
2021-05-01,Chandigarh,2-Wheelers,0,411
2021-05-01,Chhattisgarh,4-Wheelers,0,1387
2021-05-01,DNH and DD,2-Wheelers,0,452
2021-05-01,DNH and DD,4-Wheelers,0,202
2021-05-01,Delhi,2-Wheelers,0,22
2021-05-01,Delhi,4-Wheelers,0,21
2021-05-01,Jammu and Kashmir,4-Wheelers,0,2372
2021-05-01,Ladakh,2-Wheelers,0,11
2021-05-01,Ladakh,4-Wheelers,0,70
2021-05-01,Madhya Pradesh,4-Wheelers,0,195
2021-05-01,Manipur,2-Wheelers,0,288
2021-05-01,Manipur,4-Wheelers,0,9
2021-05-01,Meghalaya,2-Wheelers,0,332
2021-05-01,Mizoram,2-Wheelers,0,15
2021-05-01,Mizoram,4-Wheelers,0,4
2021-05-01,Nagaland,2-Wheelers,0,125
2021-05-01,Nagaland,4-Wheelers,0,126
2021-05-01,Odisha,4-Wheelers,0,722
2021-05-01,Punjab,4-Wheelers,0,5202
2021-05-01,Tripura,2-Wheelers,0,2063
2021-05-01,Tripura,4-Wheelers,0,192
2021-05-01,Uttarakhand,4-Wheelers,0,1145
2021-06-01,Andaman & Nicobar Island,2-Wheelers,0,2
2021-06-01,Arunachal Pradesh,2-Wheelers,0,727
2021-06-01,Arunachal Pradesh,4-Wheelers,0,565
2021-06-01,Ladakh,2-Wheelers,0,3
2021-06-01,Ladakh,4-Wheelers,0,112
2021-06-01,Manipur,2-Wheelers,0,89
2021-06-01,Manipur,4-Wheelers,0,18
2021-06-01,Meghalaya,2-Wheelers,0,354
2021-06-01,Meghalaya,4-Wheelers,0,246
2021-06-01,Mizoram,2-Wheelers,0,648
2021-06-01,Mizoram,4-Wheelers,0,298
2021-06-01,Nagaland,2-Wheelers,0,42
2021-06-01,Nagaland,4-Wheelers,0,54
2021-06-01,Puducherry,4-Wheelers,0,445
2021-06-01,Tripura,4-Wheelers,0,185
2021-07-01,Andaman & Nicobar Island,2-Wheelers,0,467
2021-07-01,Arunachal Pradesh,2-Wheelers,0,994
2021-07-01,Arunachal Pradesh,4-Wheelers,0,661
2021-07-01,Assam,4-Wheelers,0,4988
2021-07-01,DNH and DD,4-Wheelers,0,276
2021-07-01,Ladakh,2-Wheelers,0,51
2021-07-01,Ladakh,4-Wheelers,0,552
2021-07-01,Manipur,2-Wheelers,0,474
2021-07-01,Manipur,4-Wheelers,0,68
2021-07-01,Meghalaya,2-Wheelers,0,726
2021-07-01,Mizoram,2-Wheelers,0,1096
2021-07-01,Mizoram,4-Wheelers,0,219
2021-07-01,Nagaland,2-Wheelers,0,583
2021-07-01,Nagaland,4-Wheelers,0,1039
2021-07-01,Puducherry,4-Wheelers,0,866
2021-07-01,Tripura,2-Wheelers,0,2211
2021-07-01,Tripura,4-Wheelers,0,352
2021-08-01,Andaman & Nicobar Island,2-Wheelers,0,406
2021-08-01,Arunachal Pradesh,2-Wheelers,0,1126
2021-08-01,Arunachal Pradesh,4-Wheelers,0,758
2021-08-01,DNH and DD,4-Wheelers,0,321
2021-08-01,Himachal Pradesh,4-Wheelers,0,3641
2021-08-01,Jammu and Kashmir,4-Wheelers,0,5430
2021-08-01,Ladakh,2-Wheelers,0,30
2021-08-01,Ladakh,4-Wheelers,0,459
2021-08-01,Manipur,2-Wheelers,0,1016
2021-08-01,Manipur,4-Wheelers,0,561
2021-08-01,Meghalaya,2-Wheelers,0,1041
2021-08-01,Meghalaya,4-Wheelers,0,826
2021-08-01,Mizoram,2-Wheelers,0,1057
2021-08-01,Mizoram,4-Wheelers,0,240
2021-08-01,Nagaland,2-Wheelers,0,577
2021-08-01,Nagaland,4-Wheelers,0,763
2021-08-01,Tripura,2-Wheelers,0,2462
2021-08-01,Tripura,4-Wheelers,0,462
2021-09-01,Andaman & Nicobar Island,2-Wheelers,0,329
2021-09-01,Andaman & Nicobar Island,4-Wheelers,0,87
2021-09-01,Arunachal Pradesh,2-Wheelers,0,1260
2021-09-01,Arunachal Pradesh,4-Wheelers,0,637
2021-09-01,Assam,4-Wheelers,0,6036
2021-09-01,DNH and DD,4-Wheelers,0,348
2021-09-01,Ladakh,2-Wheelers,0,26
2021-09-01,Ladakh,4-Wheelers,0,444
2021-09-01,Manipur,2-Wheelers,0,3492
2021-09-01,Manipur,4-Wheelers,0,1202
2021-09-01,Meghalaya,2-Wheelers,0,1396
2021-09-01,Meghalaya,4-Wheelers,0,905
2021-09-01,Mizoram,2-Wheelers,0,1465
