date,Fiscal_year,Quater,state,vehicle_category,maker,state_sales,Maker_sales,total_vehicle_sold
2021-04-01,2022,Q1,Sikkim,2-Wheelers,OTHERS,0,749,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,JITENDRA,0,36,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,BEING,0,171,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,BAJAJ,0,48,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,REVOLT,0,138,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,TVS,0,302,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,"PURE EV",0,581,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,ATHER,0,903,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,AMPERE,0,751,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,OKINAWA,0,1251,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,"HERO ELECTRIC",0,759,398
2021-04-01,2022,Q1,Sikkim,2-Wheelers,"OLA ELECTRIC",0,0,398
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"Mercedes -Benz AG",0,3,361
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"Hyundai Motor",0,12,361
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"Mahindra & Mahindra",0,171,361
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"MG Motor",0,118,361
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"Tata Motors",0,322,361
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"KIA Motors",0,0,361
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"Volvo Auto India",0,0,361
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"BMW India",0,0,361
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"PCA Automobiles",0,0,361
2021-04-01,2022,Q1,Sikkim,4-Wheelers,"BYD India",0,0,361
2021-05-01,2022,Q1,Sikkim,2-Wheelers,OTHERS,0,260,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,JITENDRA,0,13,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,BEING,0,54,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,BAJAJ,0,20,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,REVOLT,0,42,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,TVS,0,9,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,"PURE EV",0,122,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,ATHER,0,160,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,AMPERE,0,147,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,OKINAWA,0,245,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,"HERO ELECTRIC",0,170,113
2021-05-01,2022,Q1,Sikkim,2-Wheelers,"OLA ELECTRIC",0,0,113
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"Hyundai Motor",0,3,98
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"Mahindra & Mahindra",0,78,98
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"MG Motor",0,39,98
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"Tata Motors",0,137,98
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"KIA Motors",0,0,98
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"Volvo Auto India",0,0,98
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"Mercedes -Benz AG",0,0,98
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"BMW India",0,0,98
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"PCA Automobiles",0,0,98
2021-05-01,2022,Q1,Sikkim,4-Wheelers,"BYD India",0,0,98
2021-06-01,2022,Q1,Sikkim,2-Wheelers,OTHERS,0,567,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,JITENDRA,0,43,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,BEING,0,198,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,BAJAJ,0,176,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,REVOLT,0,59,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,TVS,0,208,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,"PURE EV",0,460,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,ATHER,0,320,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,AMPERE,0,299,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,OKINAWA,0,984,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,"HERO ELECTRIC",0,1355,229
2021-06-01,2022,Q1,Sikkim,2-Wheelers,"OLA ELECTRIC",0,0,229
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"Mercedes -Benz AG",0,2,244
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"Hyundai Motor",0,10,244
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"Mahindra & Mahindra",0,106,244
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"MG Motor",0,128,244
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"Tata Motors",0,572,244
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"KIA Motors",0,0,244
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"Volvo Auto India",0,0,244
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"BMW India",0,0,244
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"PCA Automobiles",0,0,244
2021-06-01,2022,Q1,Sikkim,4-Wheelers,"BYD India",0,0,244
2021-07-01,2022,Q2,Sikkim,2-Wheelers,OTHERS,0,1202,458
2021-07-01,2022,Q2,Sikkim,2-Wheelers,JITENDRA,0,212,458
2021-07-01,2022,Q2,Sikkim,2-Wheelers,BEING,0,494,458
